sample_id,concentration_Bq_m3,net_signal_counts,total_signal_counts,threshold_counts,detected,time_to_detection_s,localization_error_m,run_name
1,0.0003108377941237978,269.8763032136796,7625.59277983183,7610.266476618151,True,318.69961354011014,12.353815661629916,quick_check
2,0.00013605228894872303,133.5718444305273,7376.32285756436,7497.301013133832,False,,95.38270375994108,quick_check
3,0.0005084130385095984,486.7405689337618,7653.442509366604,7421.251940432842,True,482.55691843806744,67.81759358107088,quick_check
4,0.00014477934011745692,139.8956916318477,7411.713578069003,7526.367886437156,False,,7.24694915248258,quick_check
5,0.0004197796090691869,395.7863208865484,7593.4424455005465,7452.206124613998,True,351.3433940156932,89.31179214785027,quick_check
6,0.00031785367579687196,341.777365944765,7521.526963659519,7434.299597714755,True,484.05673928824064,89.98000786846671,quick_check
7,6.753806842870545e-05,59.38176818846466,7100.15687650595,7295.3251083174855,False,,58.79278001443692,quick_check
8,0.00020585310048804308,208.123084419678,7573.306855949453,7619.733771529775,False,,23.439891816020108,quick_check
9,0.0002875697056204902,324.22444892029506,7728.380512597726,7658.706063677431,True,399.35114671004277,12.906558146738787,quick_check
10,0.0010488936136765403,1108.3954105395737,8354.441119210063,7500.59570867049,True,382.6533515227596,14.58398163628146,quick_check
11,0.00040999417832970816,419.5982468524411,7498.589034213823,7333.540787361382,True,539.588113300188,70.72947909794712,quick_check
12,0.00010678960344568965,93.98745930717286,7432.898043053368,7593.460583746196,False,,17.868621923791792,quick_check
13,0.0004992323572351318,521.1755611294661,7744.621270525029,7477.995709395563,True,312.14943695763645,16.046102762526722,quick_check
14,0.0003109816200579302,315.6514533110796,7414.307396934659,7353.2059436235795,True,479.7588159397414,31.477138422664325,quick_check
15,0.00036084697966804705,370.5039638240383,7610.114980292127,7494.161016468089,True,291.19065091827804,75.77181896080458,quick_check
16,0.0002798025098189063,282.1860915882194,7541.794507775689,7514.15841618747,True,310.078937934373,51.712111171433044,quick_check
17,0.00026461887378799296,245.3555978194711,7462.867387612863,7472.061789793393,False,,94.20656561888548,quick_check
18,0.00013749121809889417,132.09430721642858,7267.935596870289,7390.391289653861,False,,36.16075272223798,quick_check
19,0.0003423188496670824,365.40259533214754,7727.187625248418,7616.33502991627,True,356.0611823794789,43.94415484004214,quick_check
20,0.00022147874899039027,249.0571468885633,7339.770071054656,7345.2629241660925,False,,11.101978055553346,quick_check
21,0.00043131380806554634,432.7619239374683,7643.261458078407,7465.049534140939,True,291.19675909392026,33.11848550400457,quick_check
22,0.00037027698180073685,381.9625017514814,7569.380099059803,7441.967597308321,True,313.07582806826105,28.937283214213,quick_check
23,0.00016432032962468903,149.7689862244664,7545.6994569997205,7650.480470775255,False,,48.949937124957984,quick_check
24,0.0006325007037089852,535.7725814089187,7874.388212419261,7593.165631010343,True,561.0688919886403,60.25446169999022,quick_check
25,0.00024076429437144524,240.75076047604648,7732.91534694612,7746.714586470073,False,,34.844338494264875,quick_check
26,0.0001749449336763314,163.71958060982493,7328.208385683615,7419.03880507379,False,,28.13703989767836,quick_check
