scenario_id,detector_id,time_s,n_sigma,threshold_counts,total_signal_counts,threshold_crossing
S1,D002,1000.0,5.0,7624.25,7200.0,False
S1,D002,1020.0,5.0,7624.25,7200.0,False
S1,D002,1080.0,5.0,7624.25,7200.0,False
S1,D002,1140.0,5.0,7624.25,7200.0,False
S1,D002,1166.666667,5.0,7624.25,7200.0,False
S1,D002,1200.0,5.0,7624.25,7200.0,False
S1,D003,0.0,3.0,7454.55,7200.000022195104,False
S1,D003,60.0,3.0,7454.55,7200.001332579393,False
S1,D003,120.0,3.0,7454.55,7200.035591842116,False
S1,D003,166.666667,3.0,7454.55,7200.261678452649,False
S1,D003,180.0,3.0,7454.55,7200.422891843646,False
S1,D003,240.0,3.0,7454.55,7202.235268105502,False
S1,D003,250.0,3.0,7454.55,7202.726752058052,False
S1,D003,300.0,3.0,7454.55,7205.255952156993,False
S1,D003,333.333333,3.0,7454.55,7205.95577405609,False
S1,D003,360.0,3.0,7454.55,7205.497872386562,False
S1,D003,420.0,3.0,7454.55,7202.5583465696345,False
S1,D003,480.0,3.0,7454.55,7200.52959706229,False
S1,D003,500.0,3.0,7454.55,7200.261678449378,False
S1,D003,540.0,3.0,7454.55,7200.048770053055,False
S1,D003,600.0,3.0,7454.55,7200.001997939616,False
S1,D003,660.0,3.0,7454.55,7200.000036411029,False
S1,D003,666.666667,3.0,7454.55,7200.000022195104,False
S1,D003,720.0,3.0,7454.55,7200.000000295192,False
S1,D003,780.0,3.0,7454.55,7200.000000001065,False
S1,D003,833.333333,3.0,7454.55,7200.000000000004,False
S1,D003,840.0,3.0,7454.55,7200.000000000002,False
S1,D003,900.0,3.0,7454.55,7200.0,False
S1,D003,960.0,3.0,7454.55,7200.0,False
S1,D003,1000.0,3.0,7454.55,7200.0,False
S1,D003,1020.0,3.0,7454.55,7200.0,False
S1,D003,1080.0,3.0,7454.55,7200.0,False
S1,D003,1140.0,3.0,7454.55,7200.0,False
S1,D003,1166.666667,3.0,7454.55,7200.0,False
S1,D003,1200.0,3.0,7454.55,7200.0,False
S1,D003,0.0,5.0,7624.25,7200.000022195104,False
S1,D003,60.0,5.0,7624.25,7200.001332579393,False
S1,D003,120.0,5.0,7624.25,7200.035591842116,False
S1,D003,166.666667,5.0,7624.25,7200.261678452649,False
S1,D003,180.0,5.0,7624.25,7200.422891843646,False
S1,D003,240.0,5.0,7624.25,7202.235268105502,False
S1,D003,250.0,5.0,7624.25,7202.726752058052,False
S1,D003,300.0,5.0,7624.25,7205.255952156993,False
S1,D003,333.333333,5.0,7624.25,7205.95577405609,False
S1,D003,360.0,5.0,7624.25,7205.497872386562,False
S1,D003,420.0,5.0,7624.25,7202.5583465696345,False
S1,D003,480.0,5.0,7624.25,7200.52959706229,False
S1,D003,500.0,5.0,7624.25,7200.261678449378,False
S1,D003,540.0,5.0,7624.25,7200.048770053055,False
S1,D003,600.0,5.0,7624.25,7200.001997939616,False
S1,D003,660.0,5.0,7624.25,7200.000036411029,False
S1,D003,666.666667,5.0,7624.25,7200.000022195104,False
S1,D003,720.0,5.0,7624.25,7200.000000295192,False
S1,D003,780.0,5.0,7624.25,7200.000000001065,False
S1,D003,833.333333,5.0,7624.25,7200.000000000004,False
S1,D003,840.0,5.0,7624.25,7200.000000000002,False
S1,D003,900.0,5.0,7624.25,7200.0,False
S1,D003,960.0,5.0,7624.25,7200.0,False
S1,D003,1000.0,5.0,7624.25,7200.0,False
S1,D003,1020.0,5.0,7624.25,7200.0,False
S1,D003,1080.0,5.0,7624.25,7200.0,False
S1,D003,1140.0,5.0,7624.25,7200.0,False
S1,D003,1166.666667,5.0,7624.25,7200.0,False
S1,D003,1200.0,5.0,7624.25,7200.0,False
S1,D004,0.0,3.0,7454.55,7200.000022195104,False
S1,D004,60.0,3.0,7454.55,7200.001332579393,False
S1,D004,120.0,3.0,7454.55,7200.035591842116,False
S1,D004,166.666667,3.0,7454.55,7200.261678452649,False
S1,D004,180.0,3.0,7454.55,7200.422891843646,False
S1,D004,240.0,3.0,7454.55,7202.235268105502,False
S1,D004,250.0,3.0,7454.55,7202.726752058052,False
S1,D004,300.0,3.0,7454.55,7205.255952156993,False
S1,D004,333.333333,3.0,7454.55,7205.95577405609,False
S1,D004,360.0,3.0,7454.55,7205.497872386562,False
S1,D004,420.0,3.0,7454.55,7202.5583465696345,False
S1,D004,480.0,3.0,7454.55,7200.52959706229,False
S1,D004,500.0,3.0,7454.55,7200.261678449378,False
S1,D004,540.0,3.0,7454.55,7200.048770053055,False
S1,D004,600.0,3.0,7454.55,7200.001997939616,False
S1,D004,660.0,3.0,7454.55,7200.000036411029,False
S1,D004,666.666667,3.0,7454.55,7200.000022195104,False
S1,D004,720.0,3.0,7454.55,7200.000000295192,False
S1,D004,780.0,3.0,7454.55,7200.000000001065,False
S1,D004,833.333333,3.0,7454.55,7200.000000000004,False
S1,D004,840.0,3.0,7454.55,7200.000000000002,False
S1,D004,900.0,3.0,7454.55,7200.0,False
S1,D004,960.0,3.0,7454.55,7200.0,False
S1,D004,1000.0,3.0,7454.55,7200.0,False
S1,D004,1020.0,3.0,7454.55,7200.0,False
S1,D004,1080.0,3.0,7454.55,7200.0,False
S1,D004,1140.0,3.0,7454.55,7200.0,False
S1,D004,1166.666667,3.0,7454.55,7200.0,False
S1,D004,1200.0,3.0,7454.55,7200.0,False
S1,D004,0.0,5.0,7624.25,7200.000022195104,False
S1,D004,60.0,5.0,7624.25,7200.001332579393,False
S1,D004,120.0,5.0,7624.25,7200.035591842116,False
S1,D004,166.666667,5.0,7624.25,7200.261678452649,False
S1,D004,180.0,5.0,7624.25,7200.422891843646,False
S1,D004,240.0,5.0,7624.25,7202.235268105502,False
S1,D004,250.0,5.0,7624.25,7202.726752058052,False
S1,D004,300.0,5.0,7624.25,7205.255952156993,False
S1,D004,333.333333,5.0,7624.25,7205.95577405609,False
S1,D004,360.0,5.0,7624.25,7205.497872386562,False
S1,D004,420.0,5.0,7624.25,7202.5583465696345,False
S1,D004,480.0,5.0,7624.25,7200.52959706229,False
S1,D004,500.0,5.0,7624.25,7200.261678449378,False
S1,D004,540.0,5.0,7624.25,7200.048770053055,False
S1,D004,600.0,5.0,7624.25,7200.001997939616,False
S1,D004,660.0,5.0,7624.25,7200.000036411029,False
S1,D004,666.666667,5.0,7624.25,7200.000022195104,False
S1,D004,720.0,5.0,7624.25,7200.000000295192,False
S1,D004,780.0,5.0,7624.25,7200.000000001065,False
S1,D004,833.333333,5.0,7624.25,7200.000000000004,False
S1,D004,840.0,5.0,7624.25,7200.000000000002,False
S1,D004,900.0,5.0,7624.25,7200.0,False
S1,D004,960.0,5.0,7624.25,7200.0,False
S1,D004,1000.0,5.0,7624.25,7200.0,False
S1,D004,1020.0,5.0,7624.25,7200.0,False
S1,D004,1080.0,5.0,7624.25,7200.0,False
S1,D004,1140.0,5.0,7624.25,7200.0,False
S1,D004,1166.666667,5.0,7624.25,7200.0,False
S1,D004,1200.0,5.0,7624.25,7200.0,False
S1,D005,0.0,3.0,7454.55,7200.0,False
S1,D005,60.0,3.0,7454.55,7200.0,False
S1,D005,120.0,3.0,7454.55,7200.0,False
S1,D005,166.666667,3.0,7454.55,7200.000000000062,False
S1,D005,180.0,3.0,7454.55,7200.00000000027,False
S1,D005,240.0,3.0,7454.55,7200.000000128682,False
S1,D005,250.0,3.0,7454.55,7200.0000003323175,False
S1,D005,300.0,3.0,7454.55,7200.000027237233,False
S1,D005,333.333333,3.0,7454.55,7200.000375998387,False
S1,D005,360.0,3.0,7454.55,7200.002564669447,False
S1,D005,420.0,3.0,7454.55,7200.107428939337,False
S1,D005,480.0,3.0,7454.55,7202.00185513991,False
S1,D005,500.0,3.0,7454.55,7204.43299009148,False
S1,D005,540.0,3.0,7454.55,7216.594549873633,False
S1,D005,600.0,3.0,7454.55,7261.19554058394,False
S1,D005,660.0,3.0,7454.55,7300.391176566,False
S1,D005,666.666667,3.0,7454.55,7300.8943894327,False
S1,D005,720.0,3.0,7454.55,7273.264363732717,False
S1,D005,780.0,3.0,7454.55,7223.785456455266,False
S1,D005,833.333333,3.0,7454.55,7204.432990146893,False
S1,D005,840.0,3.0,7454.55,7203.435197157186,False
S1,D005,900.0,3.0,7454.55,7200.2207055807585,False
S1,D005,960.0,3.0,7454.55,7200.00630806895,False
S1,D005,1000.0,3.0,7454.55,7200.0003759983965,False
S1,D005,1020.0,3.0,7454.55,7200.000080204922,False
S1,D005,1080.0,3.0,7454.55,7200.000000453657,False
S1,D005,1140.0,3.0,7454.55,7200.000000001141,False
S1,D005,1166.666667,3.0,7454.55,7200.000000000062,False
S1,D005,1200.0,3.0,7454.55,7200.000000000001,False
S1,D005,0.0,5.0,7624.25,7200.0,False
S1,D005,60.0,5.0,7624.25,7200.0,False
S1,D005,120.0,5.0,7624.25,7200.0,False
S1,D005,166.666667,5.0,7624.25,7200.000000000062,False
S1,D005,180.0,5.0,7624.25,7200.00000000027,False
S1,D005,240.0,5.0,7624.25,7200.000000128682,False
S1,D005,250.0,5.0,7624.25,7200.0000003323175,False
S1,D005,300.0,5.0,7624.25,7200.000027237233,False
S1,D005,333.333333,5.0,7624.25,7200.000375998387,False
S1,D005,360.0,5.0,7624.25,7200.002564669447,False
S1,D005,420.0,5.0,7624.25,7200.107428939337,False
S1,D005,480.0,5.0,7624.25,7202.00185513991,False
S1,D005,500.0,5.0,7624.25,7204.43299009148,False
S1,D005,540.0,5.0,7624.25,7216.594549873633,False
S1,D005,600.0,5.0,7624.25,7261.19554058394,False
S1,D005,660.0,5.0,7624.25,7300.391176566,False
S1,D005,666.666667,5.0,7624.25,7300.8943894327,False
S1,D005,720.0,5.0,7624.25,7273.264363732717,False
S1,D005,780.0,5.0,7624.25,7223.785456455266,False
S1,D005,833.333333,5.0,7624.25,7204.432990146893,False
S1,D005,840.0,5.0,7624.25,7203.435197157186,False
S1,D005,900.0,5.0,7624.25,7200.2207055807585,False
S1,D005,960.0,5.0,7624.25,7200.00630806895,False
S1,D005,1000.0,5.0,7624.25,7200.0003759983965,False
S1,D005,1020.0,5.0,7624.25,7200.000080204922,False
S1,D005,1080.0,5.0,7624.25,7200.000000453657,False
S1,D005,1140.0,5.0,7624.25,7200.000000001141,False
S1,D005,1166.666667,5.0,7624.25,7200.000000000062,False
S1,D005,1200.0,5.0,7624.25,7200.000000000001,False
S1,D006,0.0,3.0,7454.55,7200.0,False
S1,D006,60.0,3.0,7454.55,7200.0,False
S1,D006,120.0,3.0,7454.55,7200.0,False
S1,D006,166.666667,3.0,7454.55,7200.000000000002,False
S1,D006,180.0,3.0,7454.55,7200.000000000007,False
S1,D006,240.0,3.0,7454.55,7200.000000003294,False
S1,D006,250.0,3.0,7454.55,7200.000000008507,False
S1,D006,300.0,3.0,7454.55,7200.000000697277,False
S1,D006,333.333333,3.0,7454.55,7200.000009625607,False
S1,D006,360.0,3.0,7454.55,7200.000065655867,False
S1,D006,420.0,3.0,7454.55,7200.00275019463,False
S1,D006,480.0,3.0,7454.55,7200.051247748404,False
S1,D006,500.0,3.0,7454.55,7200.11348511506,False
S1,D006,540.0,3.0,7454.55,7200.424822605717,False
S1,D006,600.0,3.0,7454.55,7201.5666136898635,False
S1,D006,660.0,3.0,7454.55,7202.570026999504,False
S1,D006,666.666667,3.0,7454.55,7202.582909313448,False
S1,D006,720.0,3.0,7454.55,7201.875577110809,False
S1,D006,780.0,3.0,7454.55,7200.608910736745,False
S1,D006,833.333333,3.0,7454.55,7200.113485116479,False
S1,D006,840.0,3.0,7454.55,7200.087941487933,False
S1,D006,900.0,3.0,7454.55,7200.005650091182,False
S1,D006,960.0,3.0,7454.55,7200.0001614873745,False
S1,D006,1000.0,3.0,7454.55,7200.000009625607,False
S1,D006,1020.0,3.0,7454.55,7200.000002053256,False
S1,D006,1080.0,3.0,7454.55,7200.000000011613,False
S1,D006,1140.0,3.0,7454.55,7200.000000000029,False
S1,D006,1166.666667,3.0,7454.55,7200.000000000002,False
