source_id,scenario_id,weather_id,x_m,y_m,z_m,x_downwind_m,y_crosswind_m,concentration_bq_m3,classification,concentration_Bq_m3
SRC_001,S1,W1,0.0,300.0,0.0,0.0,300.0,0.0,crosswind,0.0
SRC_001,S1,W1,0.0,400.0,0.0,0.0,400.0,0.0,crosswind,0.0
SRC_001,S1,W1,0.0,500.0,0.0,0.0,500.0,0.0,crosswind,0.0
SRC_001,S1,W1,0.0,600.0,0.0,0.0,600.0,0.0,crosswind,0.0
SRC_001,S1,W1,0.0,700.0,0.0,0.0,700.0,0.0,crosswind,0.0
SRC_001,S1,W1,0.0,800.0,0.0,0.0,800.0,0.0,crosswind,0.0
SRC_001,S1,W1,0.0,900.0,0.0,0.0,900.0,0.0,crosswind,0.0
SRC_001,S1,W1,0.0,1000.0,0.0,0.0,1000.0,0.0,crosswind,0.0
SRC_001,S1,W1,100.0,-1000.0,0.0,100.0,1000.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,-900.0,0.0,100.0,900.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,-800.0,0.0,100.0,800.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,-700.0,0.0,100.0,700.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,-600.0,0.0,100.0,600.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,-500.0,0.0,100.0,500.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,-400.0,0.0,100.0,400.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,-300.0,0.0,100.0,300.0,7.6010805022615e-311,downwind,7.6010805022615e-311
SRC_001,S1,W1,100.0,-200.0,0.0,100.0,200.0,1.6734785322988894e-139,downwind,1.6734785322988894e-139
SRC_001,S1,W1,100.0,-100.0,0.0,100.0,100.0,1.069712408425683e-36,downwind,1.069712408425683e-36
SRC_001,S1,W1,100.0,0.0,0.0,100.0,0.0,0.019852536182877103,downwind,0.019852536182877103
SRC_001,S1,W1,100.0,100.0,0.0,100.0,100.0,1.069712408425683e-36,downwind,1.069712408425683e-36
SRC_001,S1,W1,100.0,200.0,0.0,100.0,200.0,1.6734785322988894e-139,downwind,1.6734785322988894e-139
SRC_001,S1,W1,100.0,300.0,0.0,100.0,300.0,7.6010805022615e-311,downwind,7.6010805022615e-311
SRC_001,S1,W1,100.0,400.0,0.0,100.0,400.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,500.0,0.0,100.0,500.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,600.0,0.0,100.0,600.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,700.0,0.0,100.0,700.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,800.0,0.0,100.0,800.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,900.0,0.0,100.0,900.0,0.0,downwind,0.0
SRC_001,S1,W1,100.0,1000.0,0.0,100.0,1000.0,0.0,downwind,0.0
SRC_001,S1,W1,200.0,-1000.0,0.0,200.0,1000.0,0.0,downwind,0.0
SRC_001,S1,W1,200.0,-900.0,0.0,200.0,900.0,0.0,downwind,0.0
SRC_001,S1,W1,200.0,-800.0,0.0,200.0,800.0,0.0,downwind,0.0
SRC_001,S1,W1,200.0,-700.0,0.0,200.0,700.0,0.0,downwind,0.0
SRC_001,S1,W1,200.0,-600.0,0.0,200.0,600.0,1.7945039547e-314,downwind,1.7945039547e-314
