candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description,relative_likelihood,normalized_likelihood
CS_00038,-450.0,300.0,0.9992875814329046,102.99355712622737,synthetic inverse modeling grid point,4.337269517458711e-22,2.8607214953775602e-22
CS_00039,-450.0,350.0,1.6996649268344026,103.03231249179466,synthetic inverse modeling grid point,4.254032360786674e-22,2.8058209819676113e-22
CS_00040,-450.0,400.0,3.583732665555632,102.94950134916441,synthetic inverse modeling grid point,4.433870458206877e-22,2.9244363248479433e-22
CS_00041,-450.0,450.0,9.37140533413805,102.71581643101025,synthetic inverse modeling grid point,4.983414777192638e-22,3.2868978319452266e-22
CS_00042,-450.0,500.0,30.445721640905788,102.21765462018067,synthetic inverse modeling grid point,6.392952806502177e-22,4.216583138050096e-22
CS_00043,-400.0,-500.0,43.849388216129725,91.15384823024831,synthetic inverse modeling grid point,1.6150148887675199e-19,1.0652111401089626e-19
CS_00044,-400.0,-450.0,12.464672613305753,91.84722051940372,synthetic inverse modeling grid point,1.1418594511430438e-19,7.531332474120395e-20
CS_00045,-400.0,-400.0,4.466332209255204,92.16756920815017,synthetic inverse modeling grid point,9.728588119177705e-20,6.416659384476756e-20
CS_00046,-400.0,-350.0,2.013452285022113,92.28986755257844,synthetic inverse modeling grid point,9.151516538919846e-20,6.036041793762124e-20
CS_00047,-400.0,-300.0,1.141286849836057,92.26621241013972,synthetic inverse modeling grid point,9.260399393093334e-20,6.107857372701443e-20
CS_00048,-400.0,-250.0,0.8137496214716752,92.06408037953905,synthetic inverse modeling grid point,1.024523986224184e-19,6.757426021426226e-20
CS_00049,-400.0,-200.0,0.7313312374654024,91.51514713246728,synthetic inverse modeling grid point,1.3480980194522908e-19,8.891614797280804e-20
CS_00050,-400.0,-150.0,0.8339857963006287,90.0411911179015,synthetic inverse modeling grid point,2.817000684425155e-19,1.8580017630885112e-19
CS_00051,-400.0,-100.0,1.2341020708058326,85.41474956204951,synthetic inverse modeling grid point,2.847121308963031e-18,1.8778683445224876e-18
CS_00052,-400.0,-50.0,2.5038409478286687,68.0470065704671,synthetic inverse modeling grid point,1.681757774210097e-14,1.1092325702461826e-14
CS_00053,-400.0,0.0,4.755826832717506,36.97115144624239,synthetic inverse modeling grid point,9.414551693253466e-08,6.209531201559641e-08
CS_00054,-400.0,50.0,2.264482249201148,79.59008033104351,synthetic inverse modeling grid point,5.2386191326324334e-17,3.4552223002269115e-17
CS_00055,-400.0,100.0,1.069818577656799,96.85574883087101,synthetic inverse modeling grid point,9.333070508994133e-21,6.155788870274666e-21
CS_00056,-400.0,150.0,0.7140474030011468,101.09545107888317,synthetic inverse modeling grid point,1.1204304449868926e-21,7.389993739488571e-22
CS_00057,-400.0,200.0,0.6238067270608227,102.39520373438494,synthetic inverse modeling grid point,5.8498832430819e-22,3.858392168522346e-22
CS_00058,-400.0,250.0,0.6931935733382524,102.87000245312302,synthetic inverse modeling grid point,4.61366403679229e-22,3.043022304557018e-22
CS_00059,-400.0,300.0,0.9717496880506458,103.04339753308493,synthetic inverse modeling grid point,4.2305195189993863e-22,2.7903126784952193e-22
CS_00060,-400.0,350.0,1.7142620935373287,103.06364745596667,synthetic inverse modeling grid point,4.187901787517158e-22,2.7622034129665987e-22
CS_00061,-400.0,400.0,3.8037156452480048,102.95910405678009,synthetic inverse modeling grid point,4.412632902706935e-22,2.910428725992626e-22
CS_00062,-400.0,450.0,10.623172226824124,102.68488219503226,synthetic inverse modeling grid point,5.061093022244625e-22,3.338131868577938e-22
CS_00063,-400.0,500.0,37.42983873187521,102.08930160483021,synthetic inverse modeling grid point,6.816681483073879e-22,4.496060751418884e-22
