run_name,sample_id,localization_error_m
final,1,52.430248335868555
final,2,5.745506258666114
final,3,53.10908803127343
final,4,57.934869539683135
final,5,64.25166829593195
final,6,41.87116673451099
final,7,38.990756560150224
final,8,40.80829689303562
final,9,23.60092317735207
final,10,76.62954205137773
final,11,98.70362765995135
final,12,51.29102565960863
final,13,105.29687256771818
final,14,110.69895719686052
final,15,17.549465141299542
final,16,75.94272479638448
final,17,24.799344423513386
final,18,19.832475311402153
final,19,21.240961192716384
final,20,62.06418367185269
final,21,49.470201710971146
final,22,43.82161389013902
final,23,67.5788727481903
final,24,25.54756391781752
final,25,38.54468446321607
final,26,32.1854855414038
final,27,64.79779919054472
final,28,28.85929223897702
final,29,43.6066951130636
final,30,63.85582985940222
final,31,41.36261658803526
final,32,21.94534170412169
final,33,121.22022777964564
final,34,57.244741925246316
final,35,25.04573005432497
final,36,34.80136405580398
final,37,88.05189778758964
final,38,89.24949196128266
final,39,110.99807203334899
final,40,41.77189923002128
final,41,50.749309924425326
final,42,96.45429693181555
final,43,35.9303417333219
final,44,32.68024298863641
final,45,32.57977012379226
final,46,2.474938591129103
final,47,22.411178560618257
final,48,88.2049372442062
final,49,69.28151474451532
final,50,11.432272174911368
final,51,43.48561629524328
final,52,33.49732259121225
final,53,71.30014009438895
final,54,6.817636486682044
final,55,61.31566474552811
final,56,21.480929013264017
final,57,85.48008841799489
final,58,90.50245829452665
final,59,32.64653103825969
final,60,48.16334768583147
final,61,20.501462726708347
final,62,72.88652077855889
final,63,11.324569312545428
final,64,78.47586223962696
final,65,76.02967801370441
final,66,12.96151187090788
final,67,45.6477969041064
final,68,62.90557747801725
final,69,43.90878210933389
final,70,29.274409598346782
final,71,61.58398284879676
final,72,35.805430756674575
final,73,7.586062348211138
final,74,62.505714055193806
final,75,19.211724009570794
final,76,90.03130758198174
final,77,32.06617583237564
final,78,21.489497665221613
final,79,60.70432236261193
final,80,24.32620210813112
final,81,70.55672442131264
final,82,33.366380166558706
final,83,45.50801567597582
final,84,19.3946807878677
final,85,58.053463676275335
final,86,45.08981601182904
final,87,71.5157968065621
final,88,53.03156375964557
final,89,53.793642055070926
final,90,107.95851983496947
final,91,21.08529469646072
final,92,58.33852737871855
final,93,91.6944797138842
final,94,42.807524992720104
final,95,25.130097719393476
final,96,40.19628089586293
final,97,111.34565041679414
final,98,17.153435384129715
final,99,36.589191765264104
final,100,37.522751556906144
final,101,65.19050154968491
final,102,92.14723210188022
final,103,71.78038405880005
final,104,58.469814756134866
final,105,27.542042575196408
final,106,39.8194047597458
final,107,55.64392118847557
final,108,66.2432448647194
final,109,83.61086315960394
final,110,16.189651493129542
final,111,4.068366843517075
final,112,56.50311949163187
final,113,70.8838577796758
final,114,64.58444943089026
final,115,32.06889572450019
final,116,42.039294064831864
final,117,23.184300950366378
final,118,50.210332626930274
final,119,29.62564197241626
final,120,37.20406171170129
final,121,13.526958954570912
final,122,24.51034834154949
final,123,91.58183266077324
final,124,64.43046119177014
final,125,21.035363577428036
final,126,19.340242473888203
final,127,70.45506911342716
final,128,19.020664699836857
final,129,63.24856873274036
final,130,95.06821113641533
final,131,38.35081279973744
final,132,63.039207747900704
final,133,53.01883976555498
final,134,10.452421791821987
final,135,15.323512327403947
final,136,41.99365326417456
final,137,43.21974175827651
final,138,35.791693569109846
final,139,68.37255394355448
final,140,44.82913091862713
final,141,99.98622365273496
final,142,38.767875422831715
final,143,45.91579815846704
final,144,20.66347833161572
final,145,23.965998929609185
final,146,48.93122708006419
final,147,75.17694657966757
final,148,29.44712582448262
final,149,51.89645820774654
final,150,40.69493732986697
final,151,102.65186588378762
final,152,16.953410343218025
final,153,49.36159672157441
final,154,32.104475833295304
final,155,149.95721760170306
final,156,19.78794803711204
final,157,11.169352570465222
final,158,35.21301632435659
final,159,14.098503885112837
final,160,24.606887194962745
final,161,53.12599309109482
final,162,68.06190439895687
final,163,84.91567533929003
final,164,51.30966169647655
final,165,53.17666645694521
final,166,53.75263946323787
final,167,29.491689350536653
final,168,11.836698129479483
final,169,96.52021031160908
final,170,39.642434030072806
final,171,15.246792215804135
final,172,91.44191906772829
final,173,54.119363226342514
final,174,22.65685617487089
