candidate_source_id,x_m,y_m
CS_00206,-50.0,300.0
CS_00207,-50.0,350.0
CS_00208,-50.0,400.0
CS_00209,-50.0,450.0
CS_00210,-50.0,500.0
CS_00211,0.0,-500.0
CS_00212,0.0,-450.0
CS_00213,0.0,-400.0
CS_00214,0.0,-350.0
CS_00215,0.0,-300.0
CS_00216,0.0,-250.0
CS_00217,0.0,-200.0
CS_00218,0.0,-150.0
CS_00219,0.0,-100.0
CS_00220,0.0,-50.0
CS_00221,0.0,0.0
CS_00222,0.0,50.0
CS_00223,0.0,100.0
CS_00224,0.0,150.0
CS_00225,0.0,200.0
CS_00226,0.0,250.0
CS_00227,0.0,300.0
CS_00228,0.0,350.0
CS_00229,0.0,400.0
CS_00230,0.0,450.0
CS_00231,0.0,500.0
CS_00232,50.0,-500.0
CS_00233,50.0,-450.0
CS_00234,50.0,-400.0
CS_00235,50.0,-350.0
CS_00236,50.0,-300.0
CS_00237,50.0,-250.0
CS_00238,50.0,-200.0
CS_00239,50.0,-150.0
CS_00240,50.0,-100.0
CS_00241,50.0,-50.0
CS_00242,50.0,0.0
CS_00243,50.0,50.0
CS_00244,50.0,100.0
CS_00245,50.0,150.0
CS_00246,50.0,200.0
CS_00247,50.0,250.0
CS_00248,50.0,300.0
CS_00249,50.0,350.0
CS_00250,50.0,400.0
CS_00251,50.0,450.0
CS_00252,50.0,500.0
CS_00253,100.0,-500.0
CS_00254,100.0,-450.0
CS_00255,100.0,-400.0
CS_00256,100.0,-350.0
CS_00257,100.0,-300.0
CS_00258,100.0,-250.0
CS_00259,100.0,-200.0
CS_00260,100.0,-150.0
CS_00261,100.0,-100.0
CS_00262,100.0,-50.0
CS_00263,100.0,0.0
CS_00264,100.0,50.0
CS_00265,100.0,100.0
CS_00266,100.0,150.0
CS_00267,100.0,200.0
CS_00268,100.0,250.0
CS_00269,100.0,300.0
CS_00270,100.0,350.0
CS_00271,100.0,400.0
CS_00272,100.0,450.0
CS_00273,100.0,500.0
CS_00274,150.0,-500.0
CS_00275,150.0,-450.0
CS_00276,150.0,-400.0
CS_00277,150.0,-350.0
CS_00278,150.0,-300.0
CS_00279,150.0,-250.0
CS_00280,150.0,-200.0
CS_00281,150.0,-150.0
CS_00282,150.0,-100.0
CS_00283,150.0,-50.0
CS_00284,150.0,0.0
CS_00285,150.0,50.0
CS_00286,150.0,100.0
CS_00287,150.0,150.0
CS_00288,150.0,200.0
CS_00289,150.0,250.0
CS_00290,150.0,300.0
CS_00291,150.0,350.0
CS_00292,150.0,400.0
CS_00293,150.0,450.0
CS_00294,150.0,500.0
CS_00295,200.0,-500.0
CS_00296,200.0,-450.0
CS_00297,200.0,-400.0
CS_00298,200.0,-350.0
CS_00299,200.0,-300.0
CS_00300,200.0,-250.0
CS_00301,200.0,-200.0
CS_00302,200.0,-150.0
CS_00303,200.0,-100.0
CS_00304,200.0,-50.0
CS_00305,200.0,0.0
CS_00306,200.0,50.0
CS_00307,200.0,100.0
CS_00308,200.0,150.0
CS_00309,200.0,200.0
CS_00310,200.0,250.0
CS_00311,200.0,300.0
CS_00312,200.0,350.0
CS_00313,200.0,400.0
CS_00314,200.0,450.0
CS_00315,200.0,500.0
CS_00316,250.0,-500.0
CS_00317,250.0,-450.0
CS_00318,250.0,-400.0
CS_00319,250.0,-350.0
CS_00320,250.0,-300.0
CS_00321,250.0,-250.0
CS_00322,250.0,-200.0
CS_00323,250.0,-150.0
CS_00324,250.0,-100.0
CS_00325,250.0,-50.0
CS_00326,250.0,0.0
CS_00327,250.0,50.0
CS_00328,250.0,100.0
CS_00329,250.0,150.0
CS_00330,250.0,200.0
CS_00331,250.0,250.0
CS_00332,250.0,300.0
CS_00333,250.0,350.0
CS_00334,250.0,400.0
CS_00335,250.0,450.0
CS_00336,250.0,500.0
CS_00337,300.0,-500.0
CS_00338,300.0,-450.0
CS_00339,300.0,-400.0
CS_00340,300.0,-350.0
CS_00341,300.0,-300.0
CS_00342,300.0,-250.0
CS_00343,300.0,-200.0
CS_00344,300.0,-150.0
CS_00345,300.0,-100.0
CS_00346,300.0,-50.0
CS_00347,300.0,0.0
CS_00348,300.0,50.0
CS_00349,300.0,100.0
CS_00350,300.0,150.0
CS_00351,300.0,200.0
CS_00352,300.0,250.0
CS_00353,300.0,300.0
CS_00354,300.0,350.0
CS_00355,300.0,400.0
CS_00356,300.0,450.0
CS_00357,300.0,500.0
CS_00358,350.0,-500.0
CS_00359,350.0,-450.0
CS_00360,350.0,-400.0
CS_00361,350.0,-350.0
CS_00362,350.0,-300.0
CS_00363,350.0,-250.0
CS_00364,350.0,-200.0
CS_00365,350.0,-150.0
CS_00366,350.0,-100.0
CS_00367,350.0,-50.0
CS_00368,350.0,0.0
CS_00369,350.0,50.0
CS_00370,350.0,100.0
CS_00371,350.0,150.0
CS_00372,350.0,200.0
CS_00373,350.0,250.0
CS_00374,350.0,300.0
CS_00375,350.0,350.0
CS_00376,350.0,400.0
CS_00377,350.0,450.0
CS_00378,350.0,500.0
CS_00379,400.0,-500.0
CS_00380,400.0,-450.0
CS_00381,400.0,-400.0
CS_00382,400.0,-350.0
CS_00383,400.0,-300.0
CS_00384,400.0,-250.0
CS_00385,400.0,-200.0
CS_00386,400.0,-150.0
CS_00387,400.0,-100.0
CS_00388,400.0,-50.0
CS_00389,400.0,0.0
CS_00390,400.0,50.0
CS_00391,400.0,100.0
CS_00392,400.0,150.0
CS_00393,400.0,200.0
CS_00394,400.0,250.0
CS_00395,400.0,300.0
CS_00396,400.0,350.0
CS_00397,400.0,400.0
CS_00398,400.0,450.0
CS_00399,400.0,500.0
CS_00400,450.0,-500.0
CS_00401,450.0,-450.0
CS_00402,450.0,-400.0
CS_00403,450.0,-350.0
CS_00404,450.0,-300.0
CS_00405,450.0,-250.0
CS_00406,450.0,-200.0
CS_00407,450.0,-150.0
CS_00408,450.0,-100.0
CS_00409,450.0,-50.0
CS_00410,450.0,0.0
CS_00411,450.0,50.0
CS_00412,450.0,100.0
CS_00413,450.0,150.0
CS_00414,450.0,200.0
CS_00415,450.0,250.0
CS_00416,450.0,300.0
CS_00417,450.0,350.0
CS_00418,450.0,400.0
CS_00419,450.0,450.0
CS_00420,450.0,500.0
CS_00421,500.0,-500.0
CS_00422,500.0,-450.0
CS_00423,500.0,-400.0
CS_00424,500.0,-350.0
CS_00425,500.0,-300.0
CS_00426,500.0,-250.0
CS_00427,500.0,-200.0
CS_00428,500.0,-150.0
CS_00429,500.0,-100.0
CS_00430,500.0,-50.0
CS_00431,500.0,0.0
CS_00432,500.0,50.0
CS_00433,500.0,100.0
CS_00434,500.0,150.0
CS_00435,500.0,200.0
CS_00436,500.0,250.0
CS_00437,500.0,300.0
CS_00438,500.0,350.0
CS_00439,500.0,400.0
CS_00440,500.0,450.0
CS_00441,500.0,500.0
