candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description
CS_00061,-400.0,400.0,3.8037156452480048,102.95910405678009,synthetic inverse modeling grid point
CS_00062,-400.0,450.0,10.623172226824124,102.68488219503226,synthetic inverse modeling grid point
CS_00063,-400.0,500.0,37.42983873187521,102.08930160483021,synthetic inverse modeling grid point
CS_00064,-350.0,-500.0,55.370686760853744,90.95521306754443,synthetic inverse modeling grid point
CS_00065,-350.0,-450.0,14.38415275716304,91.79562721933256,synthetic inverse modeling grid point
CS_00066,-350.0,-400.0,4.791234693062374,92.1730397386186,synthetic inverse modeling grid point
CS_00067,-350.0,-350.0,2.0410806284827805,92.32310645265706,synthetic inverse modeling grid point
CS_00068,-350.0,-300.0,1.1110899666376308,92.32083945279923,synthetic inverse modeling grid point
CS_00069,-350.0,-250.0,0.7730912625603771,92.1458223973661,synthetic inverse modeling grid point
CS_00070,-350.0,-200.0,0.6888432165316355,91.64365310265738,synthetic inverse modeling grid point
CS_00071,-350.0,-150.0,0.7909905373519683,90.26805901611513,synthetic inverse modeling grid point
CS_00072,-350.0,-100.0,1.196720257327035,85.8526271607304,synthetic inverse modeling grid point
CS_00073,-350.0,-50.0,2.536198157526085,68.4184274607753,synthetic inverse modeling grid point
CS_00074,-350.0,0.0,5.150355509888026,33.68767491142293,synthetic inverse modeling grid point
CS_00075,-350.0,50.0,2.2869133266676047,80.2005971824874,synthetic inverse modeling grid point
CS_00076,-350.0,100.0,1.035642899259566,97.30164362641543,synthetic inverse modeling grid point
CS_00077,-350.0,150.0,0.6767598753536125,101.30414242061744,synthetic inverse modeling grid point
CS_00078,-350.0,200.0,0.5873711409074373,102.50786186008526,synthetic inverse modeling grid point
CS_00079,-350.0,250.0,0.6584317090040247,102.94031769455262,synthetic inverse modeling grid point
CS_00080,-350.0,300.0,0.9459199383802589,103.09011202621103,synthetic inverse modeling grid point
CS_00081,-350.0,350.0,1.7376534305235989,103.09203626695326,synthetic inverse modeling grid point
CS_00082,-350.0,400.0,4.080365996455393,102.96377300194962,synthetic inverse modeling grid point
CS_00083,-350.0,450.0,12.260509263847437,102.64065783091837,synthetic inverse modeling grid point
CS_00084,-350.0,500.0,47.285576716121476,101.91814677711177,synthetic inverse modeling grid point
CS_00085,-300.0,-500.0,72.16347597835978,90.68696566473712,synthetic inverse modeling grid point
CS_00086,-300.0,-450.0,16.949999704764103,91.72378999081938,synthetic inverse modeling grid point
CS_00087,-300.0,-400.0,5.204106547241247,92.17173104238648,synthetic inverse modeling grid point
CS_00088,-300.0,-350.0,2.081399637040106,92.35279693039092,synthetic inverse modeling grid point
CS_00089,-300.0,-300.0,1.0831115443868171,92.37203759326187,synthetic inverse modeling grid point
CS_00090,-300.0,-250.0,0.7334032304971351,92.22289273247348,synthetic inverse modeling grid point
CS_00091,-300.0,-200.0,0.6473172361067168,91.76356567524383,synthetic inverse modeling grid point
CS_00092,-300.0,-150.0,0.7492691549358506,90.47334323137089,synthetic inverse modeling grid point
CS_00093,-300.0,-100.0,1.1626059603457746,86.2301355937085,synthetic inverse modeling grid point
CS_00094,-300.0,-50.0,2.5852250813766013,68.64359097399057,synthetic inverse modeling grid point
CS_00095,-300.0,0.0,5.643920619019883,29.727848760631154,synthetic inverse modeling grid point
CS_00096,-300.0,50.0,2.3247416168891637,80.66281222294053,synthetic inverse modeling grid point
CS_00097,-300.0,100.0,1.0046380113794233,97.68408783707822,synthetic inverse modeling grid point
CS_00098,-300.0,150.0,0.640677257665759,101.49056784730726,synthetic inverse modeling grid point
CS_00099,-300.0,200.0,0.5517986273661323,102.61215590169837,synthetic inverse modeling grid point
CS_00100,-300.0,250.0,0.6245182241215713,103.00639910051403,synthetic inverse modeling grid point
